datetime,city,temperature
2012-10-01 12:00:00,Toronto,
2012-10-01 13:00:00,Toronto,286.26
2012-10-01 14:00:00,Toronto,286.262540958
2012-10-01 15:00:00,Toronto,286.269518418
2012-10-01 16:00:00,Toronto,286.276495879
2012-10-01 17:00:00,Toronto,286.283473339
2012-10-01 18:00:00,Toronto,286.290450799
2012-10-01 19:00:00,Toronto,286.297428259
2012-10-01 20:00:00,Toronto,286.304405719
2012-10-01 21:00:00,Toronto,286.311383179
2012-10-01 22:00:00,Toronto,286.318360639
2012-10-01 23:00:00,Toronto,286.325338099
2012-10-02 00:00:00,Toronto,286.332315559
2012-10-02 01:00:00,Toronto,286.339293019
2012-10-02 02:00:00,Toronto,286.346270479
2012-10-02 03:00:00,Toronto,286.353247939
2012-10-02 04:00:00,Toronto,286.360225399
2012-10-02 05:00:00,Toronto,286.367202859
2012-10-02 06:00:00,Toronto,286.374180319
2012-10-02 07:00:00,Toronto,286.38115778
2012-10-02 08:00:00,Toronto,286.38813524
2012-10-02 09:00:00,Toronto,286.3951127
2012-10-02 10:00:00,Toronto,286.40209016
2012-10-02 11:00:00,Toronto,286.40906762
2012-10-02 12:00:00,Toronto,286.41604508
2012-10-02 13:00:00,Toronto,286.42302254
2012-10-02 14:00:00,Toronto,286.43
2012-10-02 15:00:00,Toronto,288.04
2012-10-02 16:00:00,Toronto,289.21
2012-10-02 17:00:00,Toronto,289.35
2012-10-02 18:00:00,Toronto,289.27
2012-10-02 19:00:00,Toronto,289.19
2012-10-02 20:00:00,Toronto,288.87
2012-10-02 21:00:00,Toronto,289.61
2012-10-02 22:00:00,Toronto,289.53
2012-10-02 23:00:00,Toronto,288.75
2012-10-03 00:00:00,Toronto,287.67
2012-10-03 01:00:00,Toronto,287.36
2012-10-03 02:00:00,Toronto,285.5
2012-10-03 03:00:00,Toronto,285.34
2012-10-03 04:00:00,Toronto,284.66
2012-10-03 05:00:00,Toronto,283.52
2012-10-03 06:00:00,Toronto,283.44
2012-10-03 07:00:00,Toronto,284.13
2012-10-03 08:00:00,Toronto,284.22
2012-10-03 09:00:00,Toronto,284.98
2012-10-03 10:00:00,Toronto,285.29
2012-10-03 11:00:00,Toronto,285.83
2012-10-03 12:00:00,Toronto,286.83
2012-10-03 13:00:00,Toronto,287.03
2012-10-03 14:00:00,Toronto,287.91
2012-10-03 15:00:00,Toronto,288.84
2012-10-03 16:00:00,Toronto,289.77
2012-10-03 17:00:00,Toronto,290.7
2012-10-03 18:00:00,Toronto,292.02
2012-10-03 19:00:00,Toronto,290.75
2012-10-03 20:00:00,Toronto,290.58
2012-10-03 21:00:00,Toronto,290.84
2012-10-03 22:00:00,Toronto,289.825
2012-10-03 23:00:00,Toronto,288.81
2012-10-04 00:00:00,Toronto,287.96
2012-10-04 01:00:00,Toronto,287.62
2012-10-04 02:00:00,Toronto,287.11
2012-10-04 03:00:00,Toronto,287.28
2012-10-04 04:00:00,Toronto,287.36
2012-10-04 05:00:00,Toronto,287.87
2012-10-04 06:00:00,Toronto,287.87
2012-10-04 07:00:00,Toronto,287.87
2012-10-04 08:00:00,Toronto,287.7
2012-10-04 09:00:00,Toronto,287.7
2012-10-04 10:00:00,Toronto,287.89
2012-10-04 11:00:00,Toronto,287.84
2012-10-04 12:00:00,Toronto,287.94
2012-10-04 13:00:00,Toronto,288.49
2012-10-04 14:00:00,Toronto,288.91
2012-10-04 15:00:00,Toronto,288.72
2012-10-04 16:00:00,Toronto,288.72
2012-10-04 17:00:00,Toronto,288.41
2012-10-04 18:00:00,Toronto,288.8
2012-10-04 19:00:00,Toronto,288.72
2012-10-04 20:00:00,Toronto,288.8
2012-10-04 21:00:00,Toronto,289.31
2012-10-04 22:00:00,Toronto,289.47
2012-10-04 23:00:00,Toronto,288.87
2012-10-05 00:00:00,Toronto,288.91
2012-10-05 01:00:00,Toronto,288.73
2012-10-05 02:00:00,Toronto,288.64
2012-10-05 03:00:00,Toronto,288.78
2012-10-05 04:00:00,Toronto,288.78
2012-10-05 05:00:00,Toronto,288.02
2012-10-05 06:00:00,Toronto,287.79
2012-10-05 07:00:00,Toronto,287.46
2012-10-05 08:00:00,Toronto,287.13
2012-10-05 09:00:00,Toronto,287.045
2012-10-05 10:00:00,Toronto,286.96
2012-10-05 11:00:00,Toronto,286.96
2012-10-05 12:00:00,Toronto,286.93
2012-10-05 13:00:00,Toronto,287.79
2012-10-05 14:00:00,Toronto,288.15
2012-10-05 15:00:00,Toronto,289.05
2012-10-05 16:00:00,Toronto,290.51
2012-10-05 17:00:00,Toronto,291.84
2012-10-05 18:00:00,Toronto,292.67
